Plant_specie;Herbivore_specie;Plant_Tribe;Herbivore_Family;N;Loc
Eremanthus incanus (Less.) Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;GMOG
Lychnophora diamantinana Coile & Jones;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora pinaster Mart.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;OUBR
Eremanthus glomerulatus Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;CABR
Eremanthus glomerulatus Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;OUBR
Lychnophora diamantinana Coile & Jones;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;3;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora indet.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;4;DIAM
Eremanthus incanus (Less.) Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;GMOG
Eremanthus glomerulatus Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;CIPO
Lychnophora pohlii Sch. Bip.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;4;DIAM
Lychnophora pseudovillosissima;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;10;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;10;DIAM
Lychnophora pseudovillosissima;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora candelabrum Sch. Bip.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;1;CABR
Lychnophora phylicifolia DC.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;3;CABR
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;26;DIAM
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;24;GMOG
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;291;CABR
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;30;DIAM
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;31;CABR
Pluchea laxiflora Hook. & Arn. ex Baker;Acinia ica;Inuleae;Tephritidae;30;OUBR
Praxelis clematidea (Griseb.) R.M.King & H.Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;OUBR
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;7;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;56;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;CIPO
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;4;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;CIPO
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;2;CIPO
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;1;CIPO
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;CABR
Trichogonia salviifolia Gardner;Adaina bipunctata;Eupatorieae;Pterophoridae;5;CABR
Lychnophora phylicifolia DC.;Adaina bipunctata;Vernonieae;Pterophoridae;1;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Moquiniastrum hatschbachii (Cabrera) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;1;CIPO
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Koanophyllon adamantium (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Moquiniastrum paniculatum (Less.) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;2;DIAM
Moquiniastrum floribundum (Cabrera) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;1;DIAM
Vernonanthura canaminina (Gleason) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;7;GMOG
Mikania micrantha Kunth;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;7;GMOG
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;4;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;11;CABR
Trichogonia salviifolia Gardner;Adaina bipunctata;Eupatorieae;Pterophoridae;23;CABR
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;GMOG
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;GMOG
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;GMOG
Piptolepis sp.01;Adaina bipunctata;Vernonieae;Pterophoridae;1;GMOG
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;8;CABR
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;3;OUBR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;5;DIAM
Baccharis perulata Kuntze;Adaina bipunctata;Astereae;Pterophoridae;1;OUBR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;OUBR
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CIPO
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;4;CIPO
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;7;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;4;OUBR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;3;CIPO
Lessingianthus brevipetiolatus (Sch. Bip. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;5;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;7;DIAM
Chromolaena sagittifera (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Acritopappus longifolius (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Moquiniastrum floribundum (Cabrera) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;1;CABR
Pluchea laxiflora Hook. & Arn. ex Baker;Adaina bipunctata;Inuleae;Pterophoridae;1;OUBR
Pseudobrickellia brasiliensis (Spreng.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trixis ophiorhiza Gardner;Adaina bipunctata;Nassauvieae;Pterophoridae;1;GMOG
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Hoehnephytum trixoides (Gardner) Cabrera;Adaina bipunctata;Senecioneae;Pterophoridae;2;CABR
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;11;OUBR
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;5;DIAM
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;3;OUBR
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Piptolepis sp.02;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Mikania purpurascens (Baker) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Oyedaea oxylepis S.F. Blake;Adaina bipunctata;Heliantheae;Pterophoridae;3;DIAM
Campuloclinium chlorolepis (Baker) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;6;CABR
Chromolaena oxylepis (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;3;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;GMOG
Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;Adaina bipunctata;Vernonieae;Pterophoridae;1;GMOG
Eremanthus glomerulatus Less.;Adaina bipunctata;Vernonieae;Pterophoridae;1;CABR
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina hodias;Vernonieae;Pterophoridae;1;DIAM
Bidens brasiliensis Sherff;Adaina invida;Coreopsideae;Pterophoridae;1;OUBR
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina invida;Vernonieae;Pterophoridae;1;CIPO
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Adaina invida;Eupatorieae;Pterophoridae;1;OUBR
Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;Adaina sp.01;Vernonieae;Pterophoridae;2;GMOG
Piptolepis sp.02;Adaina sp.01;Vernonieae;Pterophoridae;1;DIAM
Piptolepis sp.02;Adaina sp.01;Vernonieae;Pterophoridae;8;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina sp.01;Eupatorieae;Pterophoridae;1;DIAM
Piptolepis sp.03;Adaina sp.01;Vernonieae;Pterophoridae;2;DIAM
Minasia sp.01;Adaina sp.01;Vernonieae;Pterophoridae;2;DIAM
Minasia sp.06;Adaina sp.01;Vernonieae;Pterophoridae;5;CABR
Minasia scapigera H. Rob.;Adaina sp.01;Vernonieae;Pterophoridae;2;DIAM
Senecio adamantinus Bong.;Phalonidia unguifera;Senecioneae;Tortricidae;4;CABR
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;2;CABR
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CABR
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;6;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;3;DIAM
Ayapana amygdalina (Lam.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;DIAM
Heterocondylus alatus (Vell.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;5;CIPO
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;2;CIPO
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;DIAM
Cyrtocymura scorpioides (Lam.) H.Rob.;Phalonidia unguifera;Coreopsideae;Tortricidae;3;CIPO
Lessingianthus laevigatus (Mart. ex DC.) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;1;CIPO
Senecio brasiliensis (Spreng.) Less.;Phalonidia unguifera;Senecioneae;Tortricidae;3;DIAM
Eremanthus incanus (Less.) Less.;Phalonidia unguifera;Vernonieae;Tortricidae;1;DIAM
Baccharis ligustrina DC.;Phalonidia unguifera;Astereae;Tortricidae;1;DIAM
Heterocondylus alatus (Vell.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CIPO
Lychnophora indet.;Phalonidia unguifera;Vernonieae;Tortricidae;1;CIPO
Gochnatia sp.02;Phalonidia unguifera;Vernonieae;Tortricidae;1;CIPO
Cyrtocymura scorpioides (Lam.) H.Rob.;Phalonidia unguifera;Coreopsideae;Tortricidae;2;CIPO
Campuloclinium campuloclinioides (Baker) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;2;DIAM
Hoehnephytum trixoides (Gardner) Cabrera;Phalonidia unguifera;Senecioneae;Tortricidae;1;CABR
Senecio adamantinus Bong.;Phalonidia unguifera;Senecioneae;Tortricidae;1;CABR
Senecio adamantinus Bong.;Phalonidia unguifera;Senecioneae;Tortricidae;6;CABR
Vernonanthura canaminina (Gleason) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;1;DIAM
Richterago discoidea (Less.) Kuntze;Phalonidia unguifera;Gochnatieae;Tortricidae;1;DIAM
Lessingianthus brevipetiolatus (Sch. Bip. ex Baker) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;1;DIAM
Mikania retifolia Sch. Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;2;DIAM
Vernonanthura subverticillata;Phalonidia unguifera;Vernonieae;Tortricidae;1;DIAM
Koanophyllon adamantium (Gardner) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;11;DIAM
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;26;DIAM
Cyrtocymura scorpioides (Lam.) H.Rob.;Phalonidia unguifera;Coreopsideae;Tortricidae;4;CIPO
Cyrtocymura scorpioides (Lam.) H.Rob.;Phalonidia unguifera;Coreopsideae;Tortricidae;1;CIPO
Heterocondylus amphidictyus (DC.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;4;CIPO
Mikania leiolaena DC.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CIPO
Vernonanthura ferruginea (Less.) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;1;CABR
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;2;DIAM
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;8;DIAM
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;3;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;3;DIAM
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;1;CIPO
Pluchea laxiflora Hook. & Arn. ex Baker;Phalonidia unguifera;Inuleae;Tortricidae;1;OUBR
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;1;OUBR
Richterago discoidea (Less.) Kuntze;Phalonidia unguifera;Gochnatieae;Tortricidae;1;OUBR
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;6;CIPO
Lessingianthus obtusatus (Less.) H. Rob.;Phalonidia unguifera;Vernonieae;Tortricidae;1;CIPO
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;11;CIPO
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;3;CIPO
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;21;CIPO
Hoehnephytum trixoides (Gardner) Cabrera;Phalonidia unguifera;Senecioneae;Tortricidae;1;CIPO
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;16;CIPO
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;10;OUBR
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;24;OUBR
Mikania leiolaena DC.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;OUBR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CIPO
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;4;DIAM
Senecio adamantinus Bong.;Phalonidia unguifera;Senecioneae;Tortricidae;2;DIAM
Symphyopappus decussatus Turcz.;Phalonidia unguifera;Eupatorieae;Tortricidae;9;DIAM
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;CIPO
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;1;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;2;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia unguifera;Eupatorieae;Tortricidae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Phalonidia unguifera;Eupatorieae;Tortricidae;3;DIAM
Gochnatia sp.01;Phalonidia unguifera;Vernonieae;Tortricidae;3;CIPO
Aldama robusta (Gardner) E.E.Schill. & Panero;Cochylini sp.10;Heliantheae;Tortricidae;9;CABR
Aspilia sp.02;Cochylini sp.10;Vernonieae;Tortricidae;2;CABR
Aldama robusta (Gardner) E.E.Schill. & Panero;Cochylini sp.10;Heliantheae;Tortricidae;2;CABR
Aspilia sp.07;Cochylini sp.10;Vernonieae;Tortricidae;1;CABR
Aldama robusta (Gardner) E.E.Schill. & Panero;Cochylini sp.10;Heliantheae;Tortricidae;11;CABR
Aspilia sp.10;Cochylini sp.10;Vernonieae;Tortricidae;6;GMOG
Aspilia sp.05;Cochylini sp.10;Vernonieae;Tortricidae;4;DIAM
Paralychnophora bicolor (DC.) MacLeish;Cochylini sp.11;Vernonieae;Tortricidae;1;GMOG
Lychnophora indet.;Cochylini sp.11;Vernonieae;Tortricidae;1;CIPO
Lychnophora phylicifolia DC.;Cochylini sp.11;Vernonieae;Tortricidae;1;CABR
Lychnophora indet.;Cochylini sp.11;Vernonieae;Tortricidae;1;CIPO
Lychnophora candelabrum Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;1;CABR
Lychnophora pseudovillosissima;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lychnophora pohlii Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;2;DIAM
Eremanthus incanus (Less.) Less.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lychnophora indet.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lychnophora pinaster Mart.;Cochylini sp.11;Vernonieae;Tortricidae;2;OUBR
Lychnophora pohlii Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;2;DIAM
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Minasia scapigera H. Rob.;Cochylini sp.11;Vernonieae;Tortricidae;5;DIAM
Lychnophora diamantinana Coile & Jones;Cochylini sp.11;Vernonieae;Tortricidae;2;DIAM
Lychnophora phylicifolia DC.;Cochylini sp.11;Vernonieae;Tortricidae;1;CABR
Lychnophora villosissima Mart.;Cochylini sp.11;Vernonieae;Tortricidae;11;DIAM
Lychnophora diamantinana Coile & Jones;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lychnophora villosissima Mart.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Eremanthus goyazensis (Gardner) Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lychnophora pinaster Mart.;Cochylini sp.11;Vernonieae;Tortricidae;2;OUBR
Lychnophora pinaster Mart.;Cochylini sp.11;Vernonieae;Tortricidae;8;OUBR
Lychnophora candelabrum Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;3;CABR
Lychnophora indet.;Cochylini sp.11;Vernonieae;Tortricidae;2;CABR
Lychnophora rosmarinifolia Mart.;Cochylini sp.11;Vernonieae;Tortricidae;1;CIPO
Lychnophora villosissima Mart.;Cochylini sp.11;Vernonieae;Tortricidae;9;DIAM
Minasia alpestris (Gardner) H. Rob.;Cochylini sp.11;Vernonieae;Tortricidae;1;DIAM
Lychnophora pinaster Mart.;Cochylini sp.11;Vernonieae;Tortricidae;5;OUBR
Lychnophora pohlii Sch. Bip.;Cochylini sp.11;Vernonieae;Tortricidae;5;DIAM
Baccharis platypoda DC.;Cochylini sp.11;Astereae;Tortricidae;1;CIPO
Lychnophora pinaster Mart.;Cochylini sp.11;Vernonieae;Tortricidae;11;OUBR
Lychnophora villosissima Mart.;Cochylini sp.11;Vernonieae;Tortricidae;5;DIAM
Lychnophora pinaster Mart.;Cochylini sp.12;Vernonieae;Tortricidae;1;OUBR
Minasia alpestris (Gardner) H. Rob.;Cochylini sp.12;Vernonieae;Tortricidae;1;DIAM
Cyrtocymura scorpioides (Lam.) H.Rob.;Cochylini sp.12;Coreopsideae;Tortricidae;1;OUBR
Piptolepis sp.02;Cochylini sp.12;Vernonieae;Tortricidae;1;DIAM
Lychnophora villosissima Mart.;Cochylini sp.12;Vernonieae;Tortricidae;1;DIAM
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Cochylini sp.12;Vernonieae;Tortricidae;1;DIAM
Minasia scapigera H. Rob.;Cochylini sp.12;Vernonieae;Tortricidae;2;DIAM
Lychnophora rosmarinifolia Mart.;Cochylini sp.12;Vernonieae;Tortricidae;1;CIPO
Lychnophora indet.;Cochylini sp.12;Vernonieae;Tortricidae;2;CIPO
Lychnophora indet.;Cochylini sp.12;Vernonieae;Tortricidae;4;CIPO
Lychnophora pinaster Mart.;Cochylini sp.12;Vernonieae;Tortricidae;2;OUBR
Eremanthus goyazensis (Gardner) Sch. Bip.;Cochylini sp.12;Vernonieae;Tortricidae;1;DIAM
Aldama robusta (Gardner) E.E.Schill. & Panero;Tortricidae sp.15;Heliantheae;Tortricidae;1;CABR
Lychnocephalus tomentosus Mart. ex DC.;Tortricidae sp.15;Vernonieae;Tortricidae;1;DIAM
Lychnocephalus tomentosus Mart. ex DC.;Tortricidae sp.15;Vernonieae;Tortricidae;1;CIPO
Dasyphyllum reticulatum (DC.) Cabrera;Tortricidae sp.15;Barnadesieae;Tortricidae;1;CIPO
Lessingianthus linearifolius (Less.) H. Rob.;Phalonidia mimohospes;Vernonieae;Tortricidae;1;CIPO
Vernonanthura polyanthes (Sprengel) Vega & Dematteis;Phalonidia mimohospes;Vernonieae;Tortricidae;2;CABR
Erigeron maximus;Phalonidia mimohospes;Vernonieae;Tortricidae;1;OUBR
Aspilia tomentosa;Platphalonidia fusifera;Vernonieae;Tortricidae;1;DIAM
Erechtites hieracifolius (L.) Raf. ex DC.;Platphalonidia fusifera;Senecioneae;Tortricidae;1;CABR
Aldama robusta (Gardner) E.E.Schill. & Panero;Platphalonidia fusifera;Heliantheae;Tortricidae;13;CABR
Minasia scapigera H. Rob.;Platphalonidia fusifera;Vernonieae;Tortricidae;1;DIAM
Aspilia sp.02;Platphalonidia fusifera;Vernonieae;Tortricidae;2;CABR
Aldama robusta (Gardner) E.E.Schill. & Panero;Platphalonidia fusifera;Heliantheae;Tortricidae;1;CABR
